,State,Number Diagnosed,Number Fair or Poor Health,Number in 1000s High Blood Sugar,Number Inactive,Number Obese/Overweight,Rate per 100000 Renal Disease,Lower Limit, Upper Limit,Number Smokers
0,Alabama,552753,271588,1626.0,251286,434770,186.8,163.9,209.7,104266
1,Alaska,41434,18408,251.0,15532,34278,128.0,91.0,165.0,4811
6,Connecticut,277912,112986,1357.0,104249,209537,138.3,120.9,155.7,34565
7,Delaware,79818,30694,384.0,35022,65152,195.5,134.0,257.0,14611
8,District of Columbia,43014,19311,247.0,13938,33816,265.0,196.2,333.8,8138
9,Florida,1944189,878329,7372.0,820022,1419502,182.5,150.0,215.0,255377
12,Idaho,111490,48337,505.0,41327,86439,181.0,144.9,217.1,12472
13,Illinois,1028608,491424,4419.0,418337,782370,189.7,160.9,218.5,146337
15,Iowa,224884,81092,1150.0,81346,177882,141.1,115.0,167.2,30044
16,Kansas,206760,81889,998.0,83293,159672,156.4,145.4,167.4,31264
17,Kentucky,449044,221054,1566.0,199919,369902,133.6,119.7,147.5,90085
18,Louisiana,434272,203018,1542.0,198606,348080,213.5,177.4,249.6,73294
19,Maine,113558,46438,542.0,38229,93385,98.9,85.6,112.2,21631
21,Massachusetts,506608,184612,2638.0,186284,381569,116.1,101.8,130.4,69907
24,Mississippi,308295,153401,1030.0,136253,252317,182.3,160.7,203.9,52332
27,Nebraska,127091,49792,683.0,52065,104034,149.9,133.6,166.2,18520
28,Nevada,251452,122023,1002.0,99061,178322,172.0,133.6,210.4,38894
31,New Mexico,183978,92129,749.0,64002,141012,222.9,187.8,258.0,24452
32,New York,1633786,735539,7554.0,688364,1225421,165.4,145.8,185.0,193750
35,Ohio,1003228,414168,4536.0,418365,823895,227.4,186.8,268.0,178070
36,Oklahoma,355508,165513,1296.0,151701,284465,201.4,169.5,233.3,60526
37,Oregon,306344,117285,1386.0,108498,238528,108.9,92.2,125.6,43770
40,South Carolina,504185,236091,1778.0,214575,412611,201.3,176.4,226.2,77588
41,South Dakota,51787,17534,295.0,18725,40314,191.2,156.3,226.1,9915
43,Texas,2333065,1037891,10157.0,971659,1875895,230.1,202.3,257.9,290485
46,Virginia,687972,300573,2929.0,277868,536280,163.7,144.7,182.7,104246
48,West Virginia,218960,113014,737.0,95556,179802,167.1,149.9,184.3,38626
49,Wisconsin,439230,178773,2122.0,146811,347943,172.1,135.1,209.1,61677
52,Puerto Rico,429157,277183,1675.0,218471,328893,173.5,151.4,195.6,36450
